item_id,title,release_date,video_release_date,genre,item_attributes
1176,"White Balloon, The (1995)",01-Jan-1995,unknown,Drama,"Title: White Balloon, The (1995), Genres: Drama"
1041,Antonia's Line (1995),01-Jan-1995,unknown,Drama,"Title: Antonia's Line (1995), Genres: Drama"
60,Angels and Insects (1995),01-Jan-1995,unknown,Drama|Romance,"Title: Angels and Insects (1995), Genres: Drama|Romance"
107,Muppet Treasure Island (1996),16-Feb-1996,unknown,Action|Adventure|Comedy|Musical|Thriller,"Title: Muppet Treasure Island (1996), Genres: Action|Adventure|Comedy|Musical|Thriller"
408,Braveheart (1995),16-Feb-1996,unknown,Action|Drama|War,"Title: Braveheart (1995), Genres: Action|Drama|War"
95,Taxi Driver (1976),16-Feb-1996,unknown,Drama|Thriller,"Title: Taxi Driver (1976), Genres: Drama|Thriller"
610,Rumble in the Bronx (1995),23-Feb-1996,unknown,Action|Adventure|Crime,"Title: Rumble in the Bronx (1995), Genres: Action|Adventure|Crime"
87,"Birdcage, The (1996)",08-Mar-1996,unknown,Comedy,"Title: Birdcage, The (1996), Genres: Comedy"
65,"Brothers McMullen, The (1995)",01-Jan-1995,unknown,Comedy,"Title: Brothers McMullen, The (1995), Genres: Comedy"
587,Bad Boys (1995),01-Jan-1995,unknown,Action,"Title: Bad Boys (1995), Genres: Action"
470,Apollo 13 (1995),01-Jan-1995,unknown,Action|Drama|Thriller,"Title: Apollo 13 (1995), Genres: Action|Drama|Thriller"
15,Batman Forever (1995),01-Jan-1995,unknown,Action|Adventure|Comedy|Crime,"Title: Batman Forever (1995), Genres: Action|Adventure|Comedy|Crime"
893,Belle de jour (1967),01-Jan-1967,unknown,Drama,"Title: Belle de jour (1967), Genres: Drama"
852,Crimson Tide (1995),01-Jan-1995,unknown,Drama|Thriller|War,"Title: Crimson Tide (1995), Genres: Drama|Thriller|War"
39,Crumb (1994),01-Jan-1994,unknown,Documentary,"Title: Crumb (1994), Genres: Documentary"
250,Desperado (1995),01-Jan-1995,unknown,Action|Romance|Thriller,"Title: Desperado (1995), Genres: Action|Romance|Thriller"
766,"Doom Generation, The (1995)",01-Jan-1995,unknown,Comedy|Drama,"Title: Doom Generation, The (1995), Genres: Comedy|Drama"
1214,Free Willy 2: The Adventure Home (1995),01-Jan-1995,unknown,Adventure|Childrens|Drama,"Title: Free Willy 2: The Adventure Home (1995), Genres: Adventure|Childrens|Drama"
716,Mad Love (1995),01-Jan-1995,unknown,Drama|Romance,"Title: Mad Love (1995), Genres: Drama|Romance"
911,Nadja (1994),01-Jan-1994,unknown,Drama,"Title: Nadja (1994), Genres: Drama"
542,"Net, The (1995)",01-Jan-1995,unknown,Sci-Fi|Thriller,"Title: Net, The (1995), Genres: Sci-Fi|Thriller"
461,Strange Days (1995),01-Jan-1995,unknown,Action|Crime|Sci-Fi,"Title: Strange Days (1995), Genres: Action|Crime|Sci-Fi"
14,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",01-Jan-1995,unknown,Comedy,"Title: To Wong Foo, Thanks for Everything! Julie Newmar (1995), Genres: Comedy"
935,Billy Madison (1995),01-Jan-1995,unknown,Comedy,"Title: Billy Madison (1995), Genres: Comedy"
726,Clerks (1994),01-Jan-1994,unknown,Comedy,"Title: Clerks (1994), Genres: Comedy"
612,Disclosure (1994),01-Jan-1994,unknown,Drama|Thriller,"Title: Disclosure (1994), Genres: Drama|Thriller"
468,Dolores Claiborne (1994),01-Jan-1994,unknown,Drama|Thriller,"Title: Dolores Claiborne (1994), Genres: Drama|Thriller"
924,Eat Drink Man Woman (1994),01-Jan-1994,unknown,Comedy|Drama,"Title: Eat Drink Man Woman (1994), Genres: Comedy|Drama"
1157,Exotica (1994),01-Jan-1994,unknown,Drama,"Title: Exotica (1994), Genres: Drama"
338,Ed Wood (1994),01-Jan-1994,unknown,Comedy|Drama,"Title: Ed Wood (1994), Genres: Comedy|Drama"
171,Hoop Dreams (1994),01-Jan-1994,unknown,Documentary,"Title: Hoop Dreams (1994), Genres: Documentary"
447,I.Q. (1994),01-Jan-1994,unknown,Comedy|Romance,"Title: I.Q. (1994), Genres: Comedy|Romance"
358,Star Wars (1977),01-Jan-1977,unknown,Action|Adventure|Romance|Sci-Fi|War,"Title: Star Wars (1977), Genres: Action|Adventure|Romance|Sci-Fi|War"
4,Legends of the Fall (1994),01-Jan-1994,unknown,Drama|Romance|War|Western,"Title: Legends of the Fall (1994), Genres: Drama|Romance|War|Western"
472,"Madness of King George, The (1994)",01-Jan-1994,unknown,Drama,"Title: Madness of King George, The (1994), Genres: Drama"
526,Natural Born Killers (1994),01-Jan-1994,unknown,Action|Thriller,"Title: Natural Born Killers (1994), Genres: Action|Thriller"
80,Outbreak (1995),01-Jan-1995,unknown,Action|Drama|Thriller,"Title: Outbreak (1995), Genres: Action|Drama|Thriller"
399,"Professional, The (1994)",01-Jan-1994,unknown,Crime|Drama|Romance|Thriller,"Title: Professional, The (1994), Genres: Crime|Drama|Romance|Thriller"
217,Pulp Fiction (1994),01-Jan-1994,unknown,Crime|Drama,"Title: Pulp Fiction (1994), Genres: Crime|Drama"
380,Priest (1994),01-Jan-1994,unknown,Drama,"Title: Priest (1994), Genres: Drama"
391,Quiz Show (1994),01-Jan-1994,unknown,Drama,"Title: Quiz Show (1994), Genres: Drama"
572,Three Colors: Red (1994),01-Jan-1994,unknown,Drama,"Title: Three Colors: Red (1994), Genres: Drama"
331,Three Colors: Blue (1993),01-Jan-1993,unknown,Drama,"Title: Three Colors: Blue (1993), Genres: Drama"
170,Three Colors: White (1994),01-Jan-1994,unknown,Drama,"Title: Three Colors: White (1994), Genres: Drama"
297,Stargate (1994),01-Jan-1994,unknown,Action|Adventure|Sci-Fi,"Title: Stargate (1994), Genres: Action|Adventure|Sci-Fi"
809,"Santa Clause, The (1994)",01-Jan-1994,unknown,Childrens|Comedy,"Title: Santa Clause, The (1994), Genres: Childrens|Comedy"
240,"Shawshank Redemption, The (1994)",01-Jan-1994,unknown,Drama,"Title: Shawshank Redemption, The (1994), Genres: Drama"
204,What's Eating Gilbert Grape (1993),01-Jan-1993,unknown,Comedy|Drama,"Title: What's Eating Gilbert Grape (1993), Genres: Comedy|Drama"
292,While You Were Sleeping (1995),01-Jan-1995,unknown,Comedy|Romance,"Title: While You Were Sleeping (1995), Genres: Comedy|Romance"
823,Ace Ventura: Pet Detective (1994),01-Jan-1994,unknown,Comedy,"Title: Ace Ventura: Pet Detective (1994), Genres: Comedy"
209,"Crow, The (1994)",01-Jan-1994,unknown,Action|Romance|Thriller,"Title: Crow, The (1994), Genres: Action|Romance|Thriller"
192,Forrest Gump (1994),01-Jan-1994,unknown,Comedy|Romance|War,"Title: Forrest Gump (1994), Genres: Comedy|Romance|War"
423,Four Weddings and a Funeral (1994),01-Jan-1994,unknown,Comedy|Romance,"Title: Four Weddings and a Funeral (1994), Genres: Comedy|Romance"
310,"Lion King, The (1994)",01-Jan-1994,unknown,Animation|Childrens|Musical,"Title: Lion King, The (1994), Genres: Animation|Childrens|Musical"
547,"Mask, The (1994)",01-Jan-1994,unknown,Comedy|Crime|Fantasy,"Title: Mask, The (1994), Genres: Comedy|Crime|Fantasy"
554,Maverick (1994),01-Jan-1994,unknown,Action|Comedy|Western,"Title: Maverick (1994), Genres: Action|Comedy|Western"
923,Faster Pussycat! Kill! Kill! (1965),01-Jan-1965,unknown,Action|Comedy|Drama,"Title: Faster Pussycat! Kill! Kill! (1965), Genres: Action|Comedy|Drama"
1241,Brother Minister: The Assassination of Malcolm X (1994),01-Jan-1994,unknown,Documentary,"Title: Brother Minister: The Assassination of Malcolm X (1994), Genres: Documentary"
988,Carlito's Way (1993),01-Jan-1993,unknown,Crime|Drama,"Title: Carlito's Way (1993), Genres: Crime|Drama"
173,"Firm, The (1993)",01-Jan-1993,unknown,Drama|Thriller,"Title: Firm, The (1993), Genres: Drama|Thriller"
314,Free Willy (1993),01-Jan-1993,unknown,Adventure|Childrens|Drama,"Title: Free Willy (1993), Genres: Adventure|Childrens|Drama"
157,"Fugitive, The (1993)",01-Jan-1993,unknown,Action|Thriller,"Title: Fugitive, The (1993), Genres: Action|Thriller"
329,Hot Shots! Part Deux (1993),01-Jan-1993,unknown,Action|Comedy|War,"Title: Hot Shots! Part Deux (1993), Genres: Action|Comedy|War"
405,"Hudsucker Proxy, The (1994)",01-Jan-1994,unknown,Comedy|Romance,"Title: Hudsucker Proxy, The (1994), Genres: Comedy|Romance"
232,Jurassic Park (1993),01-Jan-1993,unknown,Action|Adventure|Sci-Fi,"Title: Jurassic Park (1993), Genres: Action|Adventure|Sci-Fi"
685,Much Ado About Nothing (1993),01-Jan-1993,unknown,Comedy|Romance,"Title: Much Ado About Nothing (1993), Genres: Comedy|Romance"
964,Robert A. Heinlein's The Puppet Masters (1994),01-Jan-1994,unknown,Horror|Sci-Fi,"Title: Robert A. Heinlein's The Puppet Masters (1994), Genres: Horror|Sci-Fi"
589,"Ref, The (1994)",01-Jan-1994,unknown,Comedy,"Title: Ref, The (1994), Genres: Comedy"
10,"Remains of the Day, The (1993)",01-Jan-1993,unknown,Drama,"Title: Remains of the Day, The (1993), Genres: Drama"
545,Searching for Bobby Fischer (1993),01-Jan-1993,unknown,Drama,"Title: Searching for Bobby Fischer (1993), Genres: Drama"
34,Sleepless in Seattle (1993),01-Jan-1993,unknown,Comedy|Romance,"Title: Sleepless in Seattle (1993), Genres: Comedy|Romance"
218,Blade Runner (1982),01-Jan-1982,unknown,Film-Noir|Sci-Fi,"Title: Blade Runner (1982), Genres: Film-Noir|Sci-Fi"
769,So I Married an Axe Murderer (1993),01-Jan-1993,unknown,Comedy|Romance|Thriller,"Title: So I Married an Axe Murderer (1993), Genres: Comedy|Romance|Thriller"
528,"Nightmare Before Christmas, The (1993)",01-Jan-1993,unknown,Childrens|Comedy|Musical,"Title: Nightmare Before Christmas, The (1993), Genres: Childrens|Comedy|Musical"
498,True Romance (1993),01-Jan-1993,unknown,Action|Crime|Romance,"Title: True Romance (1993), Genres: Action|Crime|Romance"
533,Welcome to the Dollhouse (1995),24-May-1996,unknown,Comedy|Drama,"Title: Welcome to the Dollhouse (1995), Genres: Comedy|Drama"
364,Home Alone (1990),01-Jan-1990,unknown,Childrens|Comedy,"Title: Home Alone (1990), Genres: Childrens|Comedy"
27,Aladdin (1992),01-Jan-1992,unknown,Animation|Childrens|Comedy|Musical,"Title: Aladdin (1992), Genres: Animation|Childrens|Comedy|Musical"
103,Terminator 2: Judgment Day (1991),01-Jan-1991,unknown,Action|Sci-Fi|Thriller,"Title: Terminator 2: Judgment Day (1991), Genres: Action|Sci-Fi|Thriller"
321,Dances with Wolves (1990),01-Jan-1990,unknown,Adventure|Drama|Western,"Title: Dances with Wolves (1990), Genres: Adventure|Drama|Western"
32,"Silence of the Lambs, The (1991)",01-Jan-1991,unknown,Drama|Thriller,"Title: Silence of the Lambs, The (1991), Genres: Drama|Thriller"
479,Snow White and the Seven Dwarfs (1937),01-Jan-1937,unknown,Animation|Childrens|Musical,"Title: Snow White and the Seven Dwarfs (1937), Genres: Animation|Childrens|Musical"
50,Fargo (1996),14-Feb-1997,unknown,Crime|Drama|Thriller,"Title: Fargo (1996), Genres: Crime|Drama|Thriller"
786,Heavy Metal (1981),08-Mar-1981,unknown,Action|Adventure|Animation|Horror|Sci-Fi,"Title: Heavy Metal (1981), Genres: Action|Adventure|Animation|Horror|Sci-Fi"
718,"Aristocats, The (1970)",01-Jan-1970,unknown,Animation|Childrens,"Title: Aristocats, The (1970), Genres: Animation|Childrens"
767,All Dogs Go to Heaven 2 (1996),29-Mar-1996,unknown,Animation|Childrens|Musical,"Title: All Dogs Go to Heaven 2 (1996), Genres: Animation|Childrens|Musical"
901,Theodore Rex (1995),29-Mar-1996,unknown,Comedy,"Title: Theodore Rex (1995), Genres: Comedy"
553,Sgt. Bilko (1996),29-Mar-1996,unknown,Comedy,"Title: Sgt. Bilko (1996), Genres: Comedy"
191,Diabolique (1996),01-Jan-1996,unknown,Drama|Thriller,"Title: Diabolique (1996), Genres: Drama|Thriller"
564,Moll Flanders (1996),14-Jun-1996,unknown,Drama,"Title: Moll Flanders (1996), Genres: Drama"
985,Kids in the Hall: Brain Candy (1996),12-Apr-1996,unknown,Comedy,"Title: Kids in the Hall: Brain Candy (1996), Genres: Comedy"
199,Mystery Science Theater 3000: The Movie (1996),19-Apr-1996,unknown,Comedy|Sci-Fi,"Title: Mystery Science Theater 3000: The Movie (1996), Genres: Comedy|Sci-Fi"
520,Operation Dumbo Drop (1995),01-Jan-1995,unknown,Action|Adventure|Comedy|War,"Title: Operation Dumbo Drop (1995), Genres: Action|Adventure|Comedy|War"
84,"Truth About Cats & Dogs, The (1996)",26-Apr-1996,unknown,Comedy|Romance,"Title: Truth About Cats & Dogs, The (1996), Genres: Comedy|Romance"
1140,Flipper (1996),10-May-1996,unknown,Adventure|Childrens,"Title: Flipper (1996), Genres: Adventure|Childrens"
656,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",19-Apr-1996,unknown,Drama,"Title: Horseman on the Roof, The (Hussard sur le toit, Le) (1995), Genres: Drama"
609,Wallace & Gromit: The Best of Aardman Animation (1996),05-Apr-1996,unknown,Animation,"Title: Wallace & Gromit: The Best of Aardman Animation (1996), Genres: Animation"
713,"Haunted World of Edward D. Wood Jr., The (1995)",26-Apr-1996,unknown,Documentary,"Title: Haunted World of Edward D. Wood Jr., The (1995), Genres: Documentary"
659,Cold Comfort Farm (1995),23-Apr-1996,unknown,Comedy,"Title: Cold Comfort Farm (1995), Genres: Comedy"
141,"Rock, The (1996)",07-Jun-1996,unknown,Action|Adventure|Thriller,"Title: Rock, The (1996), Genres: Action|Adventure|Thriller"
24,Twister (1996),10-May-1996,unknown,Action|Adventure|Thriller,"Title: Twister (1996), Genres: Action|Adventure|Thriller"
466,Striptease (1996),28-Jun-1996,unknown,Comedy|Crime,"Title: Striptease (1996), Genres: Comedy|Crime"
403,Independence Day (ID4) (1996),03-Jul-1996,unknown,Action|Sci-Fi|War,"Title: Independence Day (ID4) (1996), Genres: Action|Sci-Fi|War"
509,"Cable Guy, The (1996)",14-Jun-1996,unknown,Comedy,"Title: Cable Guy, The (1996), Genres: Comedy"
849,"Frighteners, The (1996)",19-Jul-1996,unknown,Comedy|Horror,"Title: Frighteners, The (1996), Genres: Comedy|Horror"
859,Lone Star (1996),21-Jun-1996,unknown,Drama|Mystery,"Title: Lone Star (1996), Genres: Drama|Mystery"
550,Phenomenon (1996),29-Jun-1996,unknown,Drama|Romance,"Title: Phenomenon (1996), Genres: Drama|Romance"
388,"Spitfire Grill, The (1996)",06-Sep-1996,unknown,Drama,"Title: Spitfire Grill, The (1996), Genres: Drama"
190,"Godfather, The (1972)",01-Jan-1972,unknown,Action|Crime|Drama,"Title: Godfather, The (1972), Genres: Action|Crime|Drama"
444,Supercop (1992),26-Jul-1996,unknown,Action|Thriller,"Title: Supercop (1992), Genres: Action|Thriller"
500,Bound (1996),04-Oct-1996,unknown,Crime|Drama|Romance|Thriller,"Title: Bound (1996), Genres: Crime|Drama|Romance|Thriller"
1237,Kansas City (1996),16-Aug-1996,unknown,Crime,"Title: Kansas City (1996), Genres: Crime"
544,Breakfast at Tiffany's (1961),01-Jan-1961,unknown,Drama|Romance,"Title: Breakfast at Tiffany's (1961), Genres: Drama|Romance"
101,"Wizard of Oz, The (1939)",01-Jan-1939,unknown,Adventure|Childrens|Drama|Musical,"Title: Wizard of Oz, The (1939), Genres: Adventure|Childrens|Drama|Musical"
221,Gone with the Wind (1939),01-Jan-1939,unknown,Drama|Romance|War,"Title: Gone with the Wind (1939), Genres: Drama|Romance|War"
261,Citizen Kane (1941),01-Jan-1941,unknown,Drama,"Title: Citizen Kane (1941), Genres: Drama"
119,2001: A Space Odyssey (1968),01-Jan-1968,unknown,Drama|Mystery|Sci-Fi|Thriller,"Title: 2001: A Space Odyssey (1968), Genres: Drama|Mystery|Sci-Fi|Thriller"
919,Mr. Smith Goes to Washington (1939),01-Jan-1939,unknown,Drama,"Title: Mr. Smith Goes to Washington (1939), Genres: Drama"
149,Big Night (1996),20-Sep-1996,unknown,Drama,"Title: Big Night (1996), Genres: Drama"
596,D3: The Mighty Ducks (1996),04-Oct-1996,unknown,Childrens|Comedy,"Title: D3: The Mighty Ducks (1996), Genres: Childrens|Comedy"
820,"Love Bug, The (1969)",01-Jan-1969,unknown,Childrens|Comedy,"Title: Love Bug, The (1969), Genres: Childrens|Comedy"
123,Homeward Bound: The Incredible Journey (1993),01-Jan-1993,unknown,Adventure|Childrens,"Title: Homeward Bound: The Incredible Journey (1993), Genres: Adventure|Childrens"
219,"20,000 Leagues Under the Sea (1954)",01-Jan-1954,unknown,Adventure|Childrens|Fantasy|Sci-Fi,"Title: 20,000 Leagues Under the Sea (1954), Genres: Adventure|Childrens|Fantasy|Sci-Fi"
386,Bedknobs and Broomsticks (1971),01-Jan-1971,unknown,Adventure|Childrens|Musical,"Title: Bedknobs and Broomsticks (1971), Genres: Adventure|Childrens|Musical"
57,"Sound of Music, The (1965)",01-Jan-1965,unknown,Musical,"Title: Sound of Music, The (1965), Genres: Musical"
23,Die Hard (1988),01-Jan-1988,unknown,Action|Thriller,"Title: Die Hard (1988), Genres: Action|Thriller"
216,"Lawnmower Man, The (1992)",01-Jan-1992,unknown,Action|Sci-Fi|Thriller,"Title: Lawnmower Man, The (1992), Genres: Action|Sci-Fi|Thriller"
225,Unhook the Stars (1996),30-Oct-1996,unknown,Drama,"Title: Unhook the Stars (1996), Genres: Drama"
451,"Long Kiss Goodnight, The (1996)",05-Oct-1996,unknown,Action|Thriller,"Title: Long Kiss Goodnight, The (1996), Genres: Action|Thriller"
575,"Ghost and the Darkness, The (1996)",11-Oct-1996,unknown,Action|Adventure,"Title: Ghost and the Darkness, The (1996), Genres: Action|Adventure"
857,Jude (1996),01-Nov-1996,unknown,Drama,"Title: Jude (1996), Genres: Drama"
372,Swingers (1996),18-Oct-1996,unknown,Comedy|Drama,"Title: Swingers (1996), Genres: Comedy|Drama"
104,Willy Wonka and the Chocolate Factory (1971),01-Jan-1971,unknown,Adventure|Childrens|Comedy,"Title: Willy Wonka and the Chocolate Factory (1971), Genres: Adventure|Childrens|Comedy"
502,Sleeper (1973),01-Jan-1973,unknown,Comedy|Sci-Fi,"Title: Sleeper (1973), Genres: Comedy|Sci-Fi"
222,"Fish Called Wanda, A (1988)",01-Jan-1988,unknown,Comedy,"Title: Fish Called Wanda, A (1988), Genres: Comedy"
89,Monty Python's Life of Brian (1979),01-Jan-1979,unknown,Comedy,"Title: Monty Python's Life of Brian (1979), Genres: Comedy"
525,Dirty Dancing (1987),01-Jan-1987,unknown,Musical|Romance,"Title: Dirty Dancing (1987), Genres: Musical|Romance"
352,Reservoir Dogs (1992),01-Jan-1992,unknown,Crime|Thriller,"Title: Reservoir Dogs (1992), Genres: Crime|Thriller"
732,Platoon (1986),01-Jan-1986,unknown,Drama|War,"Title: Platoon (1986), Genres: Drama|War"
927,Weekend at Bernie's (1989),01-Jan-1989,unknown,Comedy,"Title: Weekend at Bernie's (1989), Genres: Comedy"
881,Basic Instinct (1992),01-Jan-1992,unknown,Mystery|Thriller,"Title: Basic Instinct (1992), Genres: Mystery|Thriller"
251,Glengarry Glen Ross (1992),01-Jan-1992,unknown,Drama,"Title: Glengarry Glen Ross (1992), Genres: Drama"
455,Top Gun (1986),01-Jan-1986,unknown,Action|Romance,"Title: Top Gun (1986), Genres: Action|Romance"
539,On Golden Pond (1981),01-Jan-1981,unknown,Drama,"Title: On Golden Pond (1981), Genres: Drama"
304,"Return of the Pink Panther, The (1974)",01-Jan-1974,unknown,Comedy,"Title: Return of the Pink Panther, The (1974), Genres: Comedy"
151,"Abyss, The (1989)",01-Jan-1989,unknown,Action|Adventure|Sci-Fi|Thriller,"Title: Abyss, The (1989), Genres: Action|Adventure|Sci-Fi|Thriller"
72,Jean de Florette (1986),01-Jan-1986,unknown,Drama,"Title: Jean de Florette (1986), Genres: Drama"
633,Manon of the Spring (Manon des sources) (1986),01-Jan-1986,unknown,Drama,"Title: Manon of the Spring (Manon des sources) (1986), Genres: Drama"
806,Private Benjamin (1980),01-Jan-1980,unknown,Comedy,"Title: Private Benjamin (1980), Genres: Comedy"
368,Monty Python and the Holy Grail (1974),01-Jan-1974,unknown,Comedy,"Title: Monty Python and the Holy Grail (1974), Genres: Comedy"
278,"Wrong Trousers, The (1993)",01-Jan-1993,unknown,Animation|Comedy,"Title: Wrong Trousers, The (1993), Genres: Animation|Comedy"
844,Cinema Paradiso (1988),01-Jan-1988,unknown,Comedy|Drama|Romance,"Title: Cinema Paradiso (1988), Genres: Comedy|Drama|Romance"
200,Delicatessen (1991),01-Jan-1991,unknown,Comedy|Sci-Fi,"Title: Delicatessen (1991), Genres: Comedy|Sci-Fi"
162,"Empire Strikes Back, The (1980)",01-Jan-1980,unknown,Action|Adventure|Drama|Romance|Sci-Fi|War,"Title: Empire Strikes Back, The (1980), Genres: Action|Adventure|Drama|Romance|Sci-Fi|War"
322,"Princess Bride, The (1987)",01-Jan-1987,unknown,Action|Adventure|Comedy|Romance,"Title: Princess Bride, The (1987), Genres: Action|Adventure|Comedy|Romance"
102,Raiders of the Lost Ark (1981),01-Jan-1981,unknown,Action|Adventure,"Title: Raiders of the Lost Ark (1981), Genres: Action|Adventure"
289,Brazil (1985),01-Jan-1985,unknown,Sci-Fi,"Title: Brazil (1985), Genres: Sci-Fi"
312,Aliens (1986),01-Jan-1986,unknown,Action|Sci-Fi|Thriller|War,"Title: Aliens (1986), Genres: Action|Sci-Fi|Thriller|War"
146,"Good, The Bad and The Ugly, The (1966)",01-Jan-1966,unknown,Action|Western,"Title: Good, The Bad and The Ugly, The (1966), Genres: Action|Western"
186,12 Angry Men (1957),01-Jan-1957,unknown,Drama,"Title: 12 Angry Men (1957), Genres: Drama"
491,"Clockwork Orange, A (1971)",01-Jan-1971,unknown,Sci-Fi,"Title: Clockwork Orange, A (1971), Genres: Sci-Fi"
569,Apocalypse Now (1979),01-Jan-1979,unknown,Drama|War,"Title: Apocalypse Now (1979), Genres: Drama|War"
53,Return of the Jedi (1983),14-Mar-1997,unknown,Action|Adventure|Romance|Sci-Fi|War,"Title: Return of the Jedi (1983), Genres: Action|Adventure|Romance|Sci-Fi|War"
357,GoodFellas (1990),01-Jan-1990,unknown,Crime|Drama,"Title: GoodFellas (1990), Genres: Crime|Drama"
257,Alien (1979),01-Jan-1979,unknown,Action|Horror|Sci-Fi|Thriller,"Title: Alien (1979), Genres: Action|Horror|Sci-Fi|Thriller"
374,Army of Darkness (1993),01-Jan-1993,unknown,Action|Adventure|Comedy|Horror|Sci-Fi,"Title: Army of Darkness (1993), Genres: Action|Adventure|Comedy|Horror|Sci-Fi"
362,Psycho (1960),01-Jan-1960,unknown,Horror|Romance|Thriller,"Title: Psycho (1960), Genres: Horror|Romance|Thriller"
308,"Blues Brothers, The (1980)",01-Jan-1980,unknown,Action|Comedy|Musical,"Title: Blues Brothers, The (1980), Genres: Action|Comedy|Musical"
360,"Godfather: Part II, The (1974)",01-Jan-1974,unknown,Action|Crime|Drama,"Title: Godfather: Part II, The (1974), Genres: Action|Crime|Drama"
318,Full Metal Jacket (1987),01-Jan-1987,unknown,Action|Drama|War,"Title: Full Metal Jacket (1987), Genres: Action|Drama|War"
237,"Grand Day Out, A (1992)",01-Jan-1992,unknown,Animation|Comedy,"Title: Grand Day Out, A (1992), Genres: Animation|Comedy"
481,Henry V (1989),01-Jan-1989,unknown,Drama|War,"Title: Henry V (1989), Genres: Drama|War"
255,Amadeus (1984),01-Jan-1984,unknown,Drama|Mystery,"Title: Amadeus (1984), Genres: Drama|Mystery"
722,Raging Bull (1980),01-Jan-1980,unknown,Drama,"Title: Raging Bull (1980), Genres: Drama"
33,"Right Stuff, The (1983)",01-Jan-1983,unknown,Drama,"Title: Right Stuff, The (1983), Genres: Drama"
35,"Sting, The (1973)",01-Jan-1973,unknown,Comedy|Crime,"Title: Sting, The (1973), Genres: Comedy|Crime"
113,"Terminator, The (1984)",01-Jan-1984,unknown,Action|Sci-Fi|Thriller,"Title: Terminator, The (1984), Genres: Action|Sci-Fi|Thriller"
54,Dead Poets Society (1989),01-Jan-1989,unknown,Drama,"Title: Dead Poets Society (1989), Genres: Drama"
274,"Graduate, The (1967)",01-Jan-1967,unknown,Drama|Romance,"Title: Graduate, The (1967), Genres: Drama|Romance"
236,Nikita (La Femme Nikita) (1990),01-Jan-1990,unknown,Thriller,"Title: Nikita (La Femme Nikita) (1990), Genres: Thriller"
276,"Bridge on the River Kwai, The (1957)",01-Jan-1957,unknown,Drama|War,"Title: Bridge on the River Kwai, The (1957), Genres: Drama|War"
114,"Shining, The (1980)",01-Jan-1980,unknown,Horror,"Title: Shining, The (1980), Genres: Horror"
45,Evil Dead II (1987),01-Jan-1987,unknown,Action|Adventure|Comedy|Horror,"Title: Evil Dead II (1987), Genres: Action|Adventure|Comedy|Horror"
180,Groundhog Day (1993),01-Jan-1993,unknown,Comedy|Romance,"Title: Groundhog Day (1993), Genres: Comedy|Romance"
505,Unforgiven (1992),01-Jan-1992,unknown,Western,"Title: Unforgiven (1992), Genres: Western"
248,Back to the Future (1985),01-Jan-1985,unknown,Comedy|Sci-Fi,"Title: Back to the Future (1985), Genres: Comedy|Sci-Fi"
