item_id,title,brand,price,categories,item_attributes
12,"Maybelline New York Expert Wear Brow &amp; Eyeliner, 151 Velvet Black , .011 oz (310 mg)",Maybelline,1.89,Makeup|Eyes|Eyeliner,"Brand: Maybelline, Price: 1.89, Categories: Makeup|Eyes|Eyeliner"
13,"Maybelline New York Cover Stick Concealer, Ivory, Light 2, 0.16 Ounce",Maybelline,4.2,Makeup|Face|Concealers & Neutralizers,"Brand: Maybelline, Price: 4.2, Categories: Makeup|Face|Concealers & Neutralizers"
14,"Maybelline New York Expert Eyes Moisturizing Eye Makeup Remover, 2.3 Fl. Oz.",Maybelline,1.26,Makeup|Eyes|Mascara,"Brand: Maybelline, Price: 1.26, Categories: Makeup|Eyes|Mascara"
15,"Maybelline New York Ultra-Liner Liquid Liner, Waterproof, Black 135L-01 , .25 fl oz (7.3 ml)",Maybelline,7.96,Makeup|Eyes|Eyeliner,"Brand: Maybelline, Price: 7.96, Categories: Makeup|Eyes|Eyeliner"
16,"Nullo Internal Deodorant, Coated Caplets, 135 Caplets",Monticello,24.74,Skin Care|Body|Moisturizers|Oils,"Brand: Monticello, Price: 24.74, Categories: Skin Care|Body|Moisturizers|Oils"
17,"Vagisil Anti-Itch Creme, Original Formula - 1 oz",Vagisil,3.37,Skin Care|Body|Moisturizers|Oils,"Brand: Vagisil, Price: 3.37, Categories: Skin Care|Body|Moisturizers|Oils"
18,"Pretty Feet &amp; Hands Rough Skin Remover-Exfoliant, 3-Ounce Bottles (Pack of 3)",Pretty Feet &amp; Hands,17.5,Skin Care|Face|Cleansers,"Brand: Pretty Feet &amp; Hands, Price: 17.5, Categories: Skin Care|Face|Cleansers"
19,DHS Clear Shampoo 8 Fl Oz,Person &amp; Covey,9.33,Hair Care|Shampoos,"Brand: Person &amp; Covey, Price: 9.33, Categories: Hair Care|Shampoos"
20,"Neutrogena T-Gel Shampoo, Stubborn Itch Control, 4.4 Ounce",Neutrogena,5.49,Hair Care|Shampoos,"Brand: Neutrogena, Price: 5.49, Categories: Hair Care|Shampoos"
21,"Neutrogena T/Sal Shampoo, Scalp Build-up Control, 4.5 fl oz",Neutrogena,8.5,Hair Care|Shampoos,"Brand: Neutrogena, Price: 8.5, Categories: Hair Care|Shampoos"
22,DHS Conditioning Rinse With Panthenol 8 fl oz,DHS,10.12,Hair Care|Conditioners,"Brand: DHS, Price: 10.12, Categories: Hair Care|Conditioners"
23,"Alberto VO5 Moisturizing Hot Oil Treatment, 0.5 Ounce, 2-Count Tubes (Pack of 6)",Alberto VO5,26.59,Hair Care|Hair & Scalp Treatments,"Brand: Alberto VO5, Price: 26.59, Categories: Hair Care|Hair & Scalp Treatments"
24,Konsyl Pharmaceuticals Psyllium Fiber 15.9 oz,KONSYL PHARMACEUTICALS,14.29,Skin Care|Body|Moisturizers|Lotions,"Brand: KONSYL PHARMACEUTICALS, Price: 14.29, Categories: Skin Care|Body|Moisturizers|Lotions"
25,"Williams Lectric Shave Electric Razor Pre-Shave, Original, 3 fl oz",Lectric Shave,3.23,Skin Care|Body|Moisturizers|Oils,"Brand: Lectric Shave, Price: 3.23, Categories: Skin Care|Body|Moisturizers|Oils"
26,Buf-Puf Double-Sided Body Sponge - 1 ea,Buf-Puf,6.82,"Bath & Body|Bathing Accessories|Loofahs, Sponges & Poufs","Brand: Buf-Puf, Price: 6.82, Categories: Bath & Body|Bathing Accessories|Loofahs, Sponges & Poufs"
27,"Buf-Puf Reusable Facial Sponge, Extra Gentle, - 1 ea",Buf-Puf,4.29,Skin Care|Face|Cleansers,"Brand: Buf-Puf, Price: 4.29, Categories: Skin Care|Face|Cleansers"
28,Buf-Puf Reusable Facial Sponge (Pack of 6),Buf-Puf,23.5,Skin Care|Face|Cleansers,"Brand: Buf-Puf, Price: 23.5, Categories: Skin Care|Face|Cleansers"
29,"Clean &amp; Clear ESSENTIALS Dual Action Moisturizer, 4 Ounce",Clean &amp; Clear,5.9,Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Fluids,"Brand: Clean &amp; Clear, Price: 5.9, Categories: Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Fluids"
30,"Neutrogena OntheSpot Acne Treatment, Vanishing Formula, 0.75 Ounce",Neutrogena,8.05,Skin Care|Face|Cleansers,"Brand: Neutrogena, Price: 8.05, Categories: Skin Care|Face|Cleansers"
31,Purpose Dual Treatment Moisture Lotion with SPF 15 4 fl oz (120 ml),Purpose,12.63,Skin Care|Body|Moisturizers|Lotions,"Brand: Purpose, Price: 12.63, Categories: Skin Care|Body|Moisturizers|Lotions"
32,"Stri-Dex Medicated Pads, Maximum Strength, 90-Count Containers, (Pack of 3)",Stri-Dex,15.24,Skin Care|Face|Cleansers,"Brand: Stri-Dex, Price: 15.24, Categories: Skin Care|Face|Cleansers"
33,"Basis Cleaner Clean Face Wash, 6 Fluid Ounces",Basis,6.1,Skin Care|Face|Cleansers|Washes,"Brand: Basis, Price: 6.1, Categories: Skin Care|Face|Cleansers|Washes"
34,"Cetaphil Gentle Cleansing Bar, Antibacterial - 4.5 oz",Cetaphil,6.84,Skin Care|Face|Cleansers|Bars,"Brand: Cetaphil, Price: 6.84, Categories: Skin Care|Face|Cleansers|Bars"
35,"Cuticura Medicated Anti-Bacterial Bar Soap, Original Formula - 5.25 oz bar",Cuticura,0.78,Skin Care|Body|Moisturizers|Oils,"Brand: Cuticura, Price: 0.78, Categories: Skin Care|Body|Moisturizers|Oils"
36,Purpose Gentle Cleansing Bar 6 oz (170 g),Purpose,4.21,Skin Care|Face|Cleansers|Bars,"Brand: Purpose, Price: 4.21, Categories: Skin Care|Face|Cleansers|Bars"
37,Fruit Of The Earth 100% Aloe Vera 6oz. Gel Tube,Fruit of the Earth,6.03,Skin Care|Body|Moisturizers|Oils,"Brand: Fruit of the Earth, Price: 6.03, Categories: Skin Care|Body|Moisturizers|Oils"
38,Alpha Hydrox AHA Enhanced Cream 2 oz.,Alpha Hydrox,11.24,Skin Care|Face|Treatments & Masks,"Brand: Alpha Hydrox, Price: 11.24, Categories: Skin Care|Face|Treatments & Masks"
39,Alpha Hydrox Foaming Face Wash -- 6 fl oz,Alpha Hydrox,7.38,Skin Care|Face|Cleansers|Washes,"Brand: Alpha Hydrox, Price: 7.38, Categories: Skin Care|Face|Cleansers|Washes"
40,Alpha Hydrox Enhanced Lotion 10 percent Glycolic AHA -- 6 fl oz Anti-Wrinkle,Alpha Hydrox,9.67,Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions,"Brand: Alpha Hydrox, Price: 9.67, Categories: Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions"
41,Alpha Hydrox Oil Free Treatment 10 Percent AHA 1.7 fl oz.,Alpha Hydrox,11.67,Skin Care|Face|Treatments & Masks,"Brand: Alpha Hydrox, Price: 11.67, Categories: Skin Care|Face|Treatments & Masks"
42,Aquanil Cleanser 16 fl oz.,Aquanil,13.99,Skin Care|Face|Cleansers,"Brand: Aquanil, Price: 13.99, Categories: Skin Care|Face|Cleansers"
43,"Cetaphil Moisturizing Cream, Fragrance Free - 16 oz",Cetaphil,17.5,Skin Care|Body|Moisturizers|Lotions,"Brand: Cetaphil, Price: 17.5, Categories: Skin Care|Body|Moisturizers|Lotions"
44,"Cetaphil Moisturizing Cream, 3.0 - Ounces Tube (Pack of 3)",Cetaphil,18.99,Skin Care|Body|Moisturizers|Lotions,"Brand: Cetaphil, Price: 18.99, Categories: Skin Care|Body|Moisturizers|Lotions"
45,"Cetaphil Moisturizing Lotion, Fragrance Free - 16 fl oz",Cetaphil,8.99,Skin Care|Body|Moisturizers|Lotions,"Brand: Cetaphil, Price: 8.99, Categories: Skin Care|Body|Moisturizers|Lotions"
46,"Cetaphil Gentle Skin Cleanser, 4.0 -Ounce Bottles (Pack of 6)",Cetaphil,27.64,Skin Care|Face|Cleansers,"Brand: Cetaphil, Price: 27.64, Categories: Skin Care|Face|Cleansers"
47,Cetaphil Gentle Skin Cleanser - 16 fl oz,Cetaphil,10.0,Skin Care|Face|Cleansers,"Brand: Cetaphil, Price: 10.0, Categories: Skin Care|Face|Cleansers"
48,Complex 15 Therapeutic Moisturizing Face Cream - 2.5 Ounce,unknown,unknown,Skin Care|Face|Creams & Moisturizers,"Brand: unknown, Price: unknown, Categories: Skin Care|Face|Creams & Moisturizers"
49,"DML Daily Facial Moisturizer, SPF 25 - 1.5 Oz",DML,13.25,Skin Care|Face|Creams & Moisturizers,"Brand: DML, Price: 13.25, Categories: Skin Care|Face|Creams & Moisturizers"
50,DML Moisturizing Lotion 16 oz.,DML,17.26,Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions,"Brand: DML, Price: 17.26, Categories: Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions"
51,"Neutrogena Healthy Skin Anti-Wrinkle Cream, SPF 15, 1.4 Ounce",Neutrogena,11.46,Skin Care|Face|Creams & Moisturizers,"Brand: Neutrogena, Price: 11.46, Categories: Skin Care|Face|Creams & Moisturizers"
52,"Neutrogena Body Oil, Light Sesame Formula, 8.5 Ounce",Neutrogena,4.5,Skin Care|Body|Moisturizers|Oils,"Brand: Neutrogena, Price: 4.5, Categories: Skin Care|Body|Moisturizers|Oils"
53,"Neutrogena Oil-Free Moisture, Sensitive Skin, 4 Ounce",Neutrogena,10.03,Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions,"Brand: Neutrogena, Price: 10.03, Categories: Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions"
54,"Neutrogena Light Night Cream, 2.25 Ounce",Neutrogena,4.45,Skin Care|Face|Creams & Moisturizers|Night Creams,"Brand: Neutrogena, Price: 4.45, Categories: Skin Care|Face|Creams & Moisturizers|Night Creams"
55,"Neutrogena Norwegian Formula Hand Cream, Fragrance-Free (2 Ounce)",Neutrogena,2.87,Skin Care|Hands & Nails|Hand Creams & Lotions,"Brand: Neutrogena, Price: 2.87, Categories: Skin Care|Hands & Nails|Hand Creams & Lotions"
56,Olay Complete All Day Moisturizer With Sunscreen Broad Spectrum SPF 15 Normal 4 Fl Oz,Olay,8.82,Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions,"Brand: Olay, Price: 8.82, Categories: Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions"
57,Olay Complete All Day Moisturizer With Sunscreen Broad Spectrum SPF 15 - Sensitive 4 Fl Oz,Olay,10.7,Skin Care|Face|Creams & Moisturizers,"Brand: Olay, Price: 10.7, Categories: Skin Care|Face|Creams & Moisturizers"
58,"POND'S Cold Cream Cleanser, 3.5 oz.",Pond&#39;s,4.59,Skin Care|Body|Moisturizers|Oils,"Brand: Pond&#39;s, Price: 4.59, Categories: Skin Care|Body|Moisturizers|Oils"
59,"POND'S Dry Skin Cream Facial Moisturizer, 3.9-Ounce (Packaging May Vary)",Pond&#39;s,4.85,Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions,"Brand: Pond&#39;s, Price: 4.85, Categories: Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions"
60,"Coty Airspun Face Powder, Naturally Neutral, 2.3 oz",Coty,9.99,Makeup|Face|Powder,"Brand: Coty, Price: 9.99, Categories: Makeup|Face|Powder"
61,"Max Factor Pan-Stik Ultra Creamy Makeup, Sun Tone 137 .5 oz (14 g)",unknown,99.95,Makeup|Face|Foundation,"Brand: unknown, Price: 99.95, Categories: Makeup|Face|Foundation"
62,"Neutrogena Intensified Day Moisture, SPF 15, 2.25 Ounce",unknown,unknown,Skin Care|Face|Creams & Moisturizers|Day Creams,"Brand: unknown, Price: unknown, Categories: Skin Care|Face|Creams & Moisturizers|Day Creams"
63,"Neutrogena Extra Gentle Cleanser, 6.7 Ounce",Neutrogena,7.35,Skin Care|Face|Cleansers,"Brand: Neutrogena, Price: 7.35, Categories: Skin Care|Face|Cleansers"
64,"Neutrogena Deep Clean Facial Cleanser, Normal to Oily Skin, 6.7 Ounce",Neutrogena,5.7,Skin Care|Body|Moisturizers|Oils,"Brand: Neutrogena, Price: 5.7, Categories: Skin Care|Body|Moisturizers|Oils"
65,"Neutrogena Rainbath Gel, Original, 16  Ounce",Neutrogena,11.49,Bath & Body|Cleansers|Body Washes,"Brand: Neutrogena, Price: 11.49, Categories: Bath & Body|Cleansers|Body Washes"
66,"Almay One Coat Nourishing Mascara, Thickening, Black 402, 0.4-Ounce Package",Almay,7.19,Makeup|Eyes|Mascara,"Brand: Almay, Price: 7.19, Categories: Makeup|Eyes|Mascara"
67,"Almay Moisturizing Eye Makeup Remover Pads, 80-Pads",Almay,5.69,Makeup|Makeup Remover|Eyes,"Brand: Almay, Price: 5.69, Categories: Makeup|Makeup Remover|Eyes"
68,Hugo By Hugo Boss For Men. Eau De Toilette Spray 1.3 Ounces,HUGO BOSS,24.19,Fragrance|Men's|Eau de Toilette,"Brand: HUGO BOSS, Price: 24.19, Categories: Fragrance|Men's|Eau de Toilette"
69,Jergen Extra Moisturizing Liquid Hand Wash 7.5 Oz,Jergens,4.77,Skin Care|Hands & Nails|Hand Soaps,"Brand: Jergens, Price: 4.77, Categories: Skin Care|Hands & Nails|Hand Soaps"
70,"Q-tips Cotton Swabs, 500 Count",Q-Tips,1.35,Tools & Accessories|Cotton & Swabs|Cotton Swabs,"Brand: Q-Tips, Price: 1.35, Categories: Tools & Accessories|Cotton & Swabs|Cotton Swabs"
71,"L'Oreal Paris Feria Hair Color, 36 Dark Burgundy Brown/Chocolate Cherry",L&#39;Oreal Paris,7.85,Hair Care|Hair Color|Chemical Hair Dyes,"Brand: L&#39;Oreal Paris, Price: 7.85, Categories: Hair Care|Hair Color|Chemical Hair Dyes"
72,Aussie Hair Insurance Leave-In Conditioner 8 Fl Oz (Pack of 3),Aussie,14.0,Hair Care|Conditioners,"Brand: Aussie, Price: 14.0, Categories: Hair Care|Conditioners"
73,"Suave Professionals Conditioner, Humectant - 12.6 Ounce",Suave,6.18,Hair Care|Conditioners,"Brand: Suave, Price: 6.18, Categories: Hair Care|Conditioners"
74,"Suave Naturals Shampoo, Daily Clarifying - 22.5oz.",Suave,6.85,Hair Care|Shampoos,"Brand: Suave, Price: 6.85, Categories: Hair Care|Shampoos"
75,"Suave Shampoo, Daily Clarifying - 12oz.",Suave,6.29,Hair Care|Shampoos,"Brand: Suave, Price: 6.29, Categories: Hair Care|Shampoos"
76,"Suave Naturals Shampoo, Sun Ripened Strawberry 22.5oz",Suave,3.71,Hair Care|Shampoos,"Brand: Suave, Price: 3.71, Categories: Hair Care|Shampoos"
77,"Suave Professionals Humectant Moisture Shampoo , 12.6 fl Ounce (373 ml)",Suave,6.96,Hair Care|Shampoos,"Brand: Suave, Price: 6.96, Categories: Hair Care|Shampoos"
78,"Olay Daily Care Refreshing Toner, 7.2-Fluid Ounce",Olay,4.95,Skin Care|Face|Toners & Astringents,"Brand: Olay, Price: 4.95, Categories: Skin Care|Face|Toners & Astringents"
79,Olay Age Defying Classic Eye Gel 0.5 Oz,Olay,10.11,Skin Care|Eyes|Gels,"Brand: Olay, Price: 10.11, Categories: Skin Care|Eyes|Gels"
80,"Maybelline New York Shine Free Oil Control Pressed Powder, Ivory - 1 ea",Maybelline,5.67,Makeup|Face|Powder,"Brand: Maybelline, Price: 5.67, Categories: Makeup|Face|Powder"
81,"Maybelline New York Expert Eyes 100% Oil-Free Eye Makeup Remover, 2.3 Fl. Oz.",Maybelline,4.93,Makeup|Makeup Remover|Eyes,"Brand: Maybelline, Price: 4.93, Categories: Makeup|Makeup Remover|Eyes"
82,"Maybelline New York Shine Free Oil Control Loose Powder, Light, 0.7 Ounce",Maybelline,4.9,Makeup|Face|Powder,"Brand: Maybelline, Price: 4.9, Categories: Makeup|Face|Powder"
83,"Maybelline New York Volum' Express - Waterproof Mascara, Very Black - .34 fl oz",Maybelline,6.0,Makeup|Eyes|Mascara,"Brand: Maybelline, Price: 6.0, Categories: Makeup|Eyes|Mascara"
84,"L'Oreal Paris Visible Lift Line-Minimizing &amp; Tone-Enhancing Makeup, Soft Ivory, 1.25 Ounces",L&#39;Oreal Paris,2.0,Makeup|Face|Foundation,"Brand: L&#39;Oreal Paris, Price: 2.0, Categories: Makeup|Face|Foundation"
85,"Revlon Super Lustrous Creme Lipstick, Fire and Ice 720, 0.15 Ounce",Revlon,7.5,Makeup|Lips|Lipstick,"Brand: Revlon, Price: 7.5, Categories: Makeup|Lips|Lipstick"
86,"Revlon Eterna '27' Moisture Cream with Progenitin, 2 Ounce",Revlon,15.75,Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions,"Brand: Revlon, Price: 15.75, Categories: Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions"
87,"Revlon Lash Curlers, 1 Count",Revlon,3.98,Tools & Accessories|Makeup Brushes & Tools|Eyelash Tools|Curlers,"Brand: Revlon, Price: 3.98, Categories: Tools & Accessories|Makeup Brushes & Tools|Eyelash Tools|Curlers"
88,"Neutrogena Clean Conditioner, Replenishing , 10.1 Fluid Ounce",Neutrogena,12.99,Hair Care|Conditioners,"Brand: Neutrogena, Price: 12.99, Categories: Hair Care|Conditioners"
89,"Kiss My Face Bar Soap, 8.0 oz, Pure Olive Oil. 1-Bar",Kiss My Face,2.3,Skin Care|Face|Oils & Serums,"Brand: Kiss My Face, Price: 2.3, Categories: Skin Care|Face|Oils & Serums"
90,"L'Oreal Paris Hydra-Renewal Continuous Moisture Cream, 1.7 Ounce",L&#39;Oreal Paris,5.9,Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions,"Brand: L&#39;Oreal Paris, Price: 5.9, Categories: Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions"
91,"L'Oreal Paris Eye Defense, 0.5 Fluid Ounce",L&#39;Oreal Paris,5.3,Skin Care|Eyes|Dark Circle Treatments,"Brand: L&#39;Oreal Paris, Price: 5.3, Categories: Skin Care|Eyes|Dark Circle Treatments"
92,Instead 12 Hour Feminine Protection Cup 24 ea,Instead,8.4,Skin Care|Body|Moisturizers|Lotions,"Brand: Instead, Price: 8.4, Categories: Skin Care|Body|Moisturizers|Lotions"
93,"Clean &amp; Clear Continuous Control Acne Cleanser,  5 oz  (141g)",Clean &amp; Clear,6.13,Skin Care|Face|Cleansers,"Brand: Clean &amp; Clear, Price: 6.13, Categories: Skin Care|Face|Cleansers"
94,Nature's Cure Two-part Acne Treatment System for Women 60 Tablets 1 Oz Cream,Nature&#39;s Cure,12.88,Skin Care|Sets & Kits,"Brand: Nature&#39;s Cure, Price: 12.88, Categories: Skin Care|Sets & Kits"
95,Alpha Hydrox Night Replenishing Cream 2 oz.,Alpha Hydrox,9.79,Skin Care|Face|Treatments & Masks,"Brand: Alpha Hydrox, Price: 9.79, Categories: Skin Care|Face|Treatments & Masks"
96,"Neutrogena Pore Refining Toner, Alpha and Beta Hydroxy Formula, 8.5 Ounce",Neutrogena,7.69,Skin Care|Face|Toners & Astringents,"Brand: Neutrogena, Price: 7.69, Categories: Skin Care|Face|Toners & Astringents"
97,"NeutrogenaClear Pore Oil Eliminating Astringent, 8 Ounce",Neutrogena,8.28,Skin Care|Face|Toners & Astringents,"Brand: Neutrogena, Price: 8.28, Categories: Skin Care|Face|Toners & Astringents"
98,"Neutrogena Body Clear Body Wash for Clean, Clear Skin, 8.5 Ounce",Neutrogena,7.99,Bath & Body|Scrubs & Body Treatments|Body Scrubs,"Brand: Neutrogena, Price: 7.99, Categories: Bath & Body|Scrubs & Body Treatments|Body Scrubs"
99,"Jason C-Effects Creme, 2 Ounces",Jason Natural Cosmetics,12.5,Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions,"Brand: Jason Natural Cosmetics, Price: 12.5, Categories: Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions"
100,"Jason Shampoo, Tea Tree, 17.5 Ounce",Jason Natural,6.83,Hair Care|Shampoos,"Brand: Jason Natural, Price: 6.83, Categories: Hair Care|Shampoos"
101,"Jason Thin-To-Thick Extra Volume Shampoo, 8 Ounce",Jason Natural,5.56,Hair Care|Shampoos,"Brand: Jason Natural, Price: 5.56, Categories: Hair Care|Shampoos"
102,Thin to Thick Extra Volume Conditioner 8 oz,Jason Natural,10.46,Hair Care|Conditioners,"Brand: Jason Natural, Price: 10.46, Categories: Hair Care|Conditioners"
103,Jason Purifying Tea Tree Body Wash 30 fl oz,Jason Natural Cosmetics,9.59,Bath & Body|Cleansers|Body Washes,"Brand: Jason Natural Cosmetics, Price: 9.59, Categories: Bath & Body|Cleansers|Body Washes"
104,"Jason Pure Natural Hand Soap, Purifying Tea Tree, 16 Ounce",Jason Natural,6.49,Skin Care|Hands & Nails|Hand Soaps,"Brand: Jason Natural, Price: 6.49, Categories: Skin Care|Hands & Nails|Hand Soaps"
105,"Alpha Hydrox Optimum Series, Retinol Night ResQ, Anti-Wrinkle Firming Complex - 1.05 oz",Alpha Hydrox,8.99,Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions,"Brand: Alpha Hydrox, Price: 8.99, Categories: Skin Care|Face|Creams & Moisturizers|Fluids & Lotions|Lotions"
106,"Avalon Organics Vitamin C Revitalizing Eye Creme, 1 Ounce Bottle",Avalon Organics,11.61,Skin Care|Eyes|Creams,"Brand: Avalon Organics, Price: 11.61, Categories: Skin Care|Eyes|Creams"
107,Tommy Hilfiger Tommy Cologne Spray for Men - 3.4 Fluid Ounces,Tommy Hilfiger,28.54,Fragrance|Men's|Eau de Toilette,"Brand: Tommy Hilfiger, Price: 28.54, Categories: Fragrance|Men's|Eau de Toilette"
108,"Mother's Special Blend All Natural Skin Toning Oil, 8-Ounce Bottle",Mountain Ocean,13.93,Skin Care|Face|Treatments & Masks|Masks,"Brand: Mountain Ocean, Price: 13.93, Categories: Skin Care|Face|Treatments & Masks|Masks"
109,"Aveeno Anti-Itch Concentrated Lotion, 4 Ounce",Aveeno,5.62,Skin Care|Body|Moisturizers|Lotions,"Brand: Aveeno, Price: 5.62, Categories: Skin Care|Body|Moisturizers|Lotions"
110,"Aveeno Moisturizing Bar with Natural Colloidal Oatmeal for Dry Skin, Fragrance Free, 3.5 oz",Aveeno,2.72,Skin Care|Body|Moisturizers|Oils,"Brand: Aveeno, Price: 2.72, Categories: Skin Care|Body|Moisturizers|Oils"
111,"Maybelline New York Full 'N Soft Mascara, Very Black, 0.28 Oz.",Maybelline,7.27,Makeup|Eyes|Mascara,"Brand: Maybelline, Price: 7.27, Categories: Makeup|Eyes|Mascara"
112,Maybelline Full' N Soft Mascara: Brownish Black #302,Maybelline,8.63,Makeup|Eyes|Mascara,"Brand: Maybelline, Price: 8.63, Categories: Makeup|Eyes|Mascara"
113,Olay Total Effects 7-In-1 Anti-Aging Daily Moisturizer 1.7 Fl. Oz.,Olay,8.45,Skin Care|Body|Moisturizers|Oils,"Brand: Olay, Price: 8.45, Categories: Skin Care|Body|Moisturizers|Oils"
114,Olay Total Effects Anti-Aging Fragrance Free Moisturizer 1.7 Fl Oz,Olay,7.99,Skin Care|Face|Creams & Moisturizers,"Brand: Olay, Price: 7.99, Categories: Skin Care|Face|Creams & Moisturizers"
115,"Aveeno Daily Moisturizing Lotion, 8 Ounce",Aveeno,8.68,Skin Care|Body|Moisturizers|Lotions,"Brand: Aveeno, Price: 8.68, Categories: Skin Care|Body|Moisturizers|Lotions"
116,"Neutrogena Sensitive Skin Sunscreen Lotion, SPF 30, 4 Ounce",unknown,unknown,Skin Care|Sun|Skin Protection|Sports,"Brand: unknown, Price: unknown, Categories: Skin Care|Sun|Skin Protection|Sports"
117,"ZapZyt Acne Treatment Gel, 1 oz",Zapzyt,4.49,Skin Care|Face|Cleansers,"Brand: Zapzyt, Price: 4.49, Categories: Skin Care|Face|Cleansers"
118,"Clubman Pinaud Virgin Island Bay Rum, 12 Ounce",Clubman Pinaud,13.29,Fragrance|Men's|Cologne,"Brand: Clubman Pinaud, Price: 13.29, Categories: Fragrance|Men's|Cologne"
119,"Cetaphil Daily Facial Cleanser, Normal to Oily Skin - 8 fl oz",Cetaphil,6.72,Skin Care|Face|Oils & Serums,"Brand: Cetaphil, Price: 6.72, Categories: Skin Care|Face|Oils & Serums"
120,"Palmer's Cocoa Butter Formula Massage Cream for Stretch Marks, 4.4 Ounce",Palmer&#39;s,5.27,Skin Care|Body|Moisturizers|Creams,"Brand: Palmer&#39;s, Price: 5.27, Categories: Skin Care|Body|Moisturizers|Creams"
121,Palmer's Cocoa Butter Formula Moisturizing Body Oil with Vitamin E -- 8.5 fl oz,Palmer&#39;s,3.52,Skin Care|Body|Moisturizers|Body Butter,"Brand: Palmer&#39;s, Price: 3.52, Categories: Skin Care|Body|Moisturizers|Body Butter"
122,Conair Supreme 2-In-1 Hot Air Styling Brush,Conair,27.79,Hair Care|Styling Tools|Hot-Air Brushes,"Brand: Conair, Price: 27.79, Categories: Hair Care|Styling Tools|Hot-Air Brushes"
123,"Conair Double-Sided Battery-Operated Lighted Makeup Mirror, Polished Chrome Finish",Conair,19.97,Tools & Accessories|Mirrors|Makeup Mirrors,"Brand: Conair, Price: 19.97, Categories: Tools & Accessories|Mirrors|Makeup Mirrors"
